issue_year,issue_month,ordinal,hazard,crop_names,phase,body,source_file
2023,10,1,집중호우,"무,배추",사전대책,"○ 집중호우로 인한 고랑의 유실 방지를 위한 비닐피복 재배
○ 표토 유실예방을 위한 등고선 두둑재배
○ 습해를 받지 않도록 배수로 정비",2023_월간회보_2023년 농작물 재해예방 관리기술 정보(제10호).txt
2023,10,2,집중호우,"무,배추",사후대책,"○ 침수 시 무름병 등이 발생되기 쉬우므로 이랑사이에 고인 물이 잘 빠지도록 고랑 및 배수로 정비작업
○ 비온 후 잎에 묻은 흙·오물 등을 분무기나 호스 등을 이용하여 씻어주고 병든 잎이나 열매는 제거 후 살균제 살포
○ 흙 표면을 얇게 긁어주어 공기유통을 좋게 하여 뿌리의 활력도모
○ 비가 그친 후 살균제를 살포하여 병 예방
○ 생육부진 포장은 요소 또는 제4종 복비 엽면시비로 생육촉진
○ 과수원의 토양 침식 및 제방, 도로 붕괴 가능
○ 강한 바람을 동반한 강우시 수확전 낙과 및 조기낙엽으로 동화산물 부족에 따른 과실 성숙저해 및 수체생육 불량
○ 갈색무늬병, 겹무늬썩음병, 검은별무늬병, 탄저병, 노균병 등 과실 및 상처 난 잎․가지 등을 통한 감염",2023_월간회보_2023년 농작물 재해예방 관리기술 정보(제10호).txt
2023,10,3,집중호우,"무,배추",사전대책,"○ 배수로 정비 및 토양유실 우려지역은 짚, 비닐 등으로 덮고 저지대 침수 우려지역은 제방 정비 및 보수
○ 배수불량 과원은 명거 또는 암거배수로 설치
○ 과원 내 도로 유실 및 매몰 방지
- 도로정비, 보수 및 집수구 설치
- 도로에 접한 배수로가 100m 이상이면 빗물이 범람하기 쉬우므로 적당한 간격으로 등고선에 따른 배수로 및 집수구 설치
○ 초생재배 시 풀이 너무 크지 않도록 주기적인 풀 베주기
○ 도장지, 밀생지 등을 하계 전정하여 통광, 통풍 도모",2023_월간회보_2023년 농작물 재해예방 관리기술 정보(제10호).txt
2023,10,4,집중호우,더덕,사후대책,"○ 침․관수된 과원은 신속히 배수로를 정비하여 물 빠짐을 좋게 하고 급격한 수분변화가 일어나지 않도록 관리
○ 뿌리가 훼손되었거나 잎이 많이 파손된 나무는 알맞게 과실을 솎아내어 수세회복 중점 관리
○ 치료 효과와 보호 효과가 높은 살균제 살포로 갈색무늬병, 겹무늬썩음병, 탄저병,  과실 및 상처난 잎․가지 등을 통한 감염 예방하되 농약 안전사용에 유의
○ 파손된 배수로 보수 및 배수구 정비로 신속한 배수
○ 노출된 뿌리에 흙덮기 및 유실 매몰된 곳의 보수와 복구 정비
○ 버섯 재배사 침수, 배지재료 및 폐배지의 유실
○ 집중호우로 물받이 용량초과, 빗물 역류 등으로 인한 전기누전, 화재 등의 안전사고
○ 토양매몰 재배 버섯(영지, 상황, 천마 등)의 과습에 의한 균의 사멸",2023_월간회보_2023년 농작물 재해예방 관리기술 정보(제10호).txt
2023,10,5,집중호우,천마,사전대책,"○ 버섯재배사 및 배지재료 저장고 주변 배수로 설치
○ 재배사의 물받이 청소 및 물받이 높이를 천정보다 낮게 설치
○ 전기 콘트롤박스 인입선을 박스의 아래쪽으로 넣어 누전 방지
○ 토양매몰 버섯 재배포장 주변 배수로 정리
○ 재배사내 균상․지지대․환기창 보수 및 정비",2023_월간회보_2023년 농작물 재해예방 관리기술 정보(제10호).txt
2023,10,6,집중호우,천마,사후대책,"○ 침수된 재배사는 물빼기 작업을 실시하고 재배사 주위 배수로 재정비
○ 침수된 느타리버섯 균상은 폐기 후 신규재배 추진
○ 침수된 영지버섯 원목은 깨끗한 물로 씻고 그늘에 보관하여 재입상
○ 호우기간 중 버섯 발이 이후에는 재배사내 수시 환기관리 철저
○ 파손된 균상, 지지대, 환기창 등 교체 및 보수
○ 누전이 잦은 재배사는 원인을 찾아 반드시 수리
○ 노후 축사의 파손
○ 저지대 축사의 경우 침수 우려
○ 높은 습도에 의한 사료에 곰팡이 또는 세균 증식
○ 수질오염으로 인한 수인성 질병 발생
○ 집중호우에 따른 심부 토양 유출에 의해 토양 유래성 질병 발생
○ 정전에 의한 가축 관리 시설 작동 불능",2023_월간회보_2023년 농작물 재해예방 관리기술 정보(제10호).txt
2023,10,7,집중호우,더덕,사전대책,"○ 축사 주변 배수로 정비 및 지붕과 벽 등을 점검
○ 침수예상지역은 안전한 지대로 가축 이동 조치
○ 수방자재(마대, 묶음줄, 모래주머니 등) 비치
○ 가축 및 축사 소독․방제장비 확보
○ 축사 주변 청결 및 정기적인 소독
○ 보관중인 사료는 높은 곳으로 옮겨서 물에 잠기지 않도록 함
○ 호우기간 부족 되기 쉬운 건초 및 담근먹이 미리 준비
* 건초 및 담근 먹이에 비가림 시설 설치
○ 충분한 양의 깔짚 준비
○ 축사에 환풍장치 설치 등 환기시설을 보수 및 보완
○ 노출전선, 전기시설 점검 및 정전에 대비 비상용 자가발전 시설 마련
○ 가축 분뇨 저장시설과 퇴비장의 배수구점검",2023_월간회보_2023년 농작물 재해예방 관리기술 정보(제10호).txt
2023,10,8,집중호우,더덕,사후대책,"○ 축사 침수시 가축대피, 응급복구 및 철저한 예방접종 실시
○ 충분한 통풍 환기 및 수시 분뇨제거로 유해가스 발생 방지 및 적정 습도유지(50～70%)
○ 급수기 수시 청소 및 소독실시로 수인성 질병 예방
○ 오물확산 방지를 위한 퇴비사 및 분뇨처리장 등 축산분뇨 처리시설 점검 보완
○ 전염병 발생시 즉시 방역기관에 신고
○ 전염병에 의한 폐사 가축은 방역당국의 지시에 따라 소각매몰",2023_월간회보_2023년 농작물 재해예방 관리기술 정보(제10호).txt
2023,11,1,동해,육계,사후대책,"○ 안전에 유의하며 시설하우스 및 축사 주위에 쌓인 눈의 신속한 제설 작업 실시
○ 폭설 피해시 시․군 행정기관 및 농업기술센터 등에 즉시 신고하고 피해복구 지원을 요청하여 무너진 시설하우스 및 축사 응급 복구
- 피해 복구시에는 내재해형 규격시설에 따라 설치하여 재해를 최소화할 수 있도록 하고 피해 발생시에도 정부의 지원을 받을 수 있도록 함
○ 파손된 골조 및 피복 비닐의 긴급 보수, 작물 동해 피해 예방
- 폭설 이후에는 작물의 동해나 저온피해 등이 발생할 수 있으므로 폭설로 무너진 하우스는 조속히 복구하여 피복을 다시 하고, 복구가 불가능한 지역에서는 섬피 등을 이용해 소형터널을 2～3중으로 보온하여 동해 피해 방지
○ 시설하우스 및 축사 내부에 난방장치 가동으로 농작물 및 가축 동사 방지
- 온풍난방기 등 난방장치를 가동하여 하우스 위에 쌓인 눈이 녹아 내려 햇빛이 하우스 안으로 들어올 수 있도록 조치하고, 정전으로 인하여 난방장치가 작동 불가능한 경우에는 섬피, 부직포 등을 이용하여 소형 터널로 보온을 충분히 하여 생육 최저온도 이하로 떨어지지 않도록 관리
○ 주변 배수로 정비 및 환기 실시, 시설원예 병충해 방제 및 축사 질병 예방 대책 추진
- 눈이 녹아서 찬물이 하우스 안으로 스며들지 않도록 배수로를 잘 정비
- 눈이 오면 하우스 내의 습도가 높아져 병 발생이 많아지게 되므로 환기를 적극적으로 실시하고 살균제를 살포
○ 피해 농작물의 관리 등 대(對)농민 기술지도로 농작물 피해 최소화",2023_월간회보_2023년 농작물 재해예방 관리기술 정보(제11호).txt
2023,11,2,동해,육계,사전대책,"○ 지역별 기후 조건에 맞는 품목 선택과 안전 작기 준수
- 지대별 안전 재배 작물과 적기
-
○ 작물별 생육시기별 최저 한계 온도의 확보
- 과채류 최저 한계 온도(℃)
-1～-2
- 엽채류 최저 한계 온도(℃)
-8
-5
-10
-5
○ 보온 시설의 보완
- 소형터널 + 섬피 → 대형터널 + 커튼설치 보온
<대형터널 부직포 보온시 보온효과 및 생력효과>
※ 소형터널은 폭 90cm, 대형터널은 240cm임
생력효과의 ( )내 숫자는 보온작업시 노동력을 줄일 수 있는 생력 지수임
- 방풍벽 설치 : 서북 방향에 높이 3～4m로 망 또는 이엉으로 설치
- 하우스 연동화 : 방열 면적 축소
- 하우스 주변 단열재 설치 : 깊이 40cm, 폭 10cm
- 태양열 이용 증대 : 축열물주머니, 지중 축열장치의 이용
- 커튼 및 터널에 의한 보온력 강화 : 섬피 등 보온자재 이용
<하우스 덮는 형태에 따른 기온과의 차이(보온력)>
〃   +  밖에 섬피덮음(1겹)
〃   +        〃          + 커튼(1겹)
〃   +  소형터널  + 섬피덮음(1겹)
〃   +     〃       + 섬피 2겹덮음
※ 햇볕에 쪼였을 때의 온도차이며 구름 낀 날은 이보다 1～2℃ 낮음
○ 내한성 품종 선택과 내한성 증대
- 참외 및 노지멜론 : 내한성 대목 이용 (신토좌, 백국좌)
- 영양 조건 개선과 저온 순화
○ 보온 효과가 좋은 덮개를 이용하여 보온한다.
○ 자연열을 최대이용 보온 : 축열물주머니 설치
<축열 물주머니 설치 효과>
※ 외기온도 5℃, 재배작물 : 상추
○ 고온성 열매채소류 촉성재배시는 가급적 겨울철 추울 때에는 가온하여 생리 장애와 어는 피해를 방지",2023_월간회보_2023년 농작물 재해예방 관리기술 정보(제11호).txt
