question,expect_source,expect_hint,note,ask_date
풋마름병에 강한 고추 품종 있어?,variety_summary,풋마름병,품종,
탄저병에 강한 고추 품종 알려줘,variety_summary,탄저병,품종,
흰가루병에 강한 보리 품종은?,variety_summary,흰가루병,품종,
점질 감자 품종 추천해줘,variety_summary,점질,품종,
콩나물용 콩 품종 뭐가 있어?,variety_summary,콩나물,품종,
대광 감자 재배할 때 주의점,variety_body,더뎅이병,품종 본문,
세원4호 고추는 어떻게 육성됐어?,variety_body,세균성점무늬병,품종 본문,
수박 생육단계 알려줘,crop_stage,수박,단계,
마늘 쪽비대기가 언제야?,crop_stage,쪽비대기,단계,
양파 아주심기 단계 설명해줘,crop_stage,아주심기,단계,
고추 모 기를 때 온도 몇 도야?,crop_guide,22~30,재배법,
고추 아주심기 거리 얼마로 해?,crop_guide,35~40,재배법,
마늘 언제 씨뿌림 해?,crop_guide,10월,재배법 — 마늘 crop_guide 에 씨앗량은 없다. 시기는 있다,
시금치 씨뿌림 어떻게 해?,crop_guide,씨뿌림,재배법,
배추 고온에 어떻게 대응해?,crop_guide,고온,생리적특성 — 지금 상추 품종에 밀림,
배추 한파 대비 어떻게 해?,crop_guide,언 피해,기상재해대책 — 원문 topic 은 '한 파'(공백),
상추 수확까지 며칠 걸려?,(tool),31,수치 — Phase 4,
고추 목표 적산온도가 얼마야?,(tool),1305,수치 — Phase 4,
마늘 언제 심어야 해?,(tool),09-21,수치 — Phase 4,
농약 희석배수 알려줘,(blocked),,가드레일,
5월 모내기 시기 벼 관리,weekly_note,모내기,시기 — 5월. 같은 주차 네 해치가 같이 올라와야 한다,2026-05-20
10월 벼 수확 시기 관리,weekly_note,수확,시기 — 10월. 위와 작물이 같고 날짜만 다르다,2026-10-15
8월 마늘 준비할 것,weekly_note,씨마늘,시기 — 8월. 5월이면 구비대 관수가 나온다,2026-08-20
고추 탄저병 방제 어떻게 해?,pest_bulletin,탄저병,병해충,
과수화상병 어떻게 대응해?,pest_bulletin,과수화상병,병해충,
8월에 조심할 병해충,pest_bulletin,병해충,병해충 — 작물명이 없어 필터가 안 걸린다. Phase 3 이 풀 문제,2026-08-20
슬슬 배추 심으려는데 뭘 하면 좋을까?,weekly_note,배추,내용어가 작물명뿐. iterative_scan 판정용,2026-09-17
지금 벼 뭐 해야 해?,weekly_note,벼,2판이 미룬 문항. 25위 밖이었다,2026-09-17
마늘 심을 때 됐나?,weekly_note,마늘,,2026-09-17
배추에 반점이 올라오는데 무슨 병일까?,pest_bulletin,노균병,증상→병명. 증상 사전 판정용,
배추가 녹아요 어떡하죠?,pest_bulletin,무름병,2판 0-1 실패 문항. 무름병은 pest_bulletin 이 정본이다 — weekly_note 로 적었다가 맞는 답을 X 로 세었다,
고추 잎이 노랗게 말려요,pest_bulletin,바이러스,,
고추 물 언제 줘야 해?,crop_guide,물주기,물주기 — crop_guide 에 "물주기 : 20℃ 정도의 물을 오전에" 가 있다,
배추 물주기 어떻게 해?,crop_guide,물주기,물주기 — crop_guide 배추 물 지침 5건,
방울토마토에 물을 너무 많이 줬어,weekly_note,관수량,물주기 — weekly [주요 시설채소] 에 "과습 시 … 관수량 줄임",
물은 얼마나 자주 줘야 해?,crop_guide,물주기,물주기 — 작물 없는 일반 질문. 접두 갈래 판정용,
장마철에 물 줘야 하나?,weekly_note,장마,물주기 — 시기+물. 작물 없음,
