crop_name,maturity_type,stage_order,stage_name,gdd_from,gdd_to,water_need_mm,fertilize_needed,irrigate_needed,stage_tasks,stage_hazards,guide_text
감귤,EARLY,1,발아기,0,110,,false,false,방제,,
감귤,EARLY,2,개화기,110,374,,true,false,"웃거름,피복,방제",,
감귤,EARLY,3,1차 생리 낙과기,374,771,,false,false,방제,바람,
감귤,EARLY,4,2차 생리 낙과기,771,1261,,false,false,"솎기,방제",,
감귤,EARLY,5,"과실비대기, 착색기",1261,2196,,false,false,방제,"과습,바람",
감귤,EARLY,6,"수확, 가을비료",2196,2201,,true,false,웃거름,,
감귤,LATE,1,발아기,0,110,,false,false,방제,,
감귤,LATE,2,개화기,110,374,,true,false,"웃거름,피복,방제",,
감귤,LATE,3,1차 생리 낙과기,374,771,,false,false,방제,바람,
감귤,LATE,4,2차 생리 낙과기,771,1261,,false,false,"솎기,방제",,
감귤,LATE,5,"과실비대기, 착색기",1261,2196,,false,false,방제,"과습,바람",
감귤,LATE,6,"수확, 가을비료",2196,2201,,true,false,웃거름,,
감자,EARLY,1,밭준비 및 파종,0,839,,false,true,"김매기,배수,방제",가뭄,
감자,EARLY,2,수확,839,988,,false,false,"배수,방제,수확후","과습,저온,고온","잎, 줄기가 노랗게 변할 때(황엽기~고엽기)"
감자,MID,1,밭준비 및 파종,0,943,,false,true,"김매기,배수,방제",가뭄,
감자,MID,2,수확,943,1110,,false,false,"배수,방제,수확후","과습,저온,고온","잎, 줄기가 노랗게 변할 때(황엽기~고엽기)"
감자,LATE,1,밭준비 및 파종,0,1048,,false,true,"김매기,배수,방제",가뭄,
감자,LATE,2,수확,1048,1234,,false,false,"배수,방제,수확후","과습,저온,고온","잎, 줄기가 노랗게 변할 때(황엽기~고엽기)"
갓,MID,1,씨뿌림,0,150,,false,false,,,
갓,MID,2,생육기,150,525,,true,true,"웃거름,김매기,물주기,배수",과습,
갓,MID,3,수확,525,1043,,false,false,,,
강낭콩,MID,1,파종기,0,69,,false,false,솎기,,
강낭콩,MID,2,신장기,69,152,,false,false,,고온,
강낭콩,MID,3,개화 및 협대기,152,420,,false,true,"김매기,배수","가뭄,과습",
결구상추,MID,1,씨뿌림,0,144,,false,false,,저온,"시기: 5월 중순~7월 상순 / 씨앗양: 40~60㎖/10a / 봄, 가을에도 씨뿌림 가능(평난지)"
결구상추,MID,2,"발아, 어린 모 시기",144,332,,false,false,,,
결구상추,MID,3,아주심기,332,546,,true,true,웃거름,"가뭄,과습,바람","시기: 5월 상순~8월 상순 / 거리: 이랑너비 80cm(1줄), 120cm(2줄), 포기사이 30~35cm / 비닐덮기: 두께 0.02~0.03mm"
결구상추,MID,4,생육기,546,889,,true,false,웃거름,,
결구상추,MID,5,수확,889,1619,,true,false,웃거름,,
고구마,EARLY,1,육묘관리,0,997,,false,true,"김매기,배수","가뭄,과습",
고구마,EARLY,2,덩이뿌리비대기,997,2009,,false,false,,,
고구마,MID,1,육묘관리,0,1069,,false,true,"김매기,배수","가뭄,과습",
고구마,MID,2,덩이뿌리비대기,1069,2154,,false,false,,,
고구마,LATE,1,육묘관리,0,1123,,false,true,"김매기,배수","가뭄,과습",
고구마,LATE,2,덩이뿌리비대기,1123,2263,,false,false,,,
고사리,MID,1,"수확 후 데침 및 건조, 출하",0,50,,true,false,"웃거름,수확후",,잎줄기가 10~15cm자랐을 때 / 주먹 모양의 어린잎이 퍼지기 전에 지표면에서 절단
고사리,MID,2,홀씨 배양묘 아주심기,50,617,,false,false,,"과습,고온",포트묘: 4~5월 / 씨뿌리(종근): 9월 하순~10월 상순 / 씨뿌리 아주심기: 25주/㎡ / 포트묘: 4주/㎡
고사리,MID,3,수확,617,799,,false,false,김매기,,잎줄기가 10~15cm자랐을 때 / 주먹 모양의 어린잎이 퍼지기 전에 지표면에서 절단
고추,MID,1,아주심기,0,73,,false,false,,,"시기: 남부 4월 하순~5월 상순, 중부 5월 상순~5월 중순"
고추,MID,2,생육기,73,214,,true,true,"웃거름,지주","가뭄,과습",
고추,MID,3,풋고추 수확,214,537,,true,false,웃거름,과습,
고추,MID,4,붉은고추 수확,537,1305,,true,true,웃거름,"가뭄,과습,바람",
근대,MID,1,씨뿌림,0,740,,true,true,"웃거름,김매기","가뭄,과습,고온","시기: 봄재배 3~4월, 여름재배 5~6월, 가을재배 9~10월 / 씨앗양: 7.2∼15ℓ/10a / 거리: 이랑 너비 1~1.2m, 포기 사이 12~30cm"
근대,MID,2,수확,740,1303,,false,false,,,"쌈용으로 수확할 경우 잎의 크기가 손바닥만 할 때 수확 / 봄, 여름의 수확은 저녁 때 하여 시듦 방지"
냉이,MID,1,씨뿌림,0,853,,false,false,,,
냉이,MID,2,수확,853,872,,false,false,,,
냉이,MID,3,수확 및 출하,872,961,,false,true,수확후,"가뭄,고온",
녹두,MID,1,"파종, 잡초방제",0,376,,false,false,"김매기,피복,방제",,파종량: 1~2kg(2~3ℓ)/10a
녹두,MID,2,신장기,376,525,,false,false,배수,,
녹두,MID,3,파종,525,699,,false,false,,과습,1모작: 5월 중순 / 2모작: 6월 상순
녹두,MID,4,유묘기,699,1042,,false,false,솎기,과습,
녹두,MID,5,개화기,1042,1621,,false,true,"김매기,방제","가뭄,바람",
녹두,MID,6,협비대기,1621,1945,,false,false,,,
녹두,MID,7,성숙기,1945,2191,,false,false,,과습,
녹두,MID,8,수확,2191,2277,,false,false,,,꽃이 핀 후 40~50일경 수확 / 평야지: 성숙기 후 15~20일경 부터 2~3회 / 야산개간지: 성숙기 후 20일경 부터 1회
단감,EARLY,1,발아전엽기,0,171,,false,true,"김매기,물주기,배수,방제",저온,
단감,EARLY,2,개화기,171,468,,true,false,웃거름,,
단감,EARLY,3,생리적낙과기,468,872,,false,true,솎기,"가뭄,고온",
단감,EARLY,4,꽃눈분화기,872,2029,,true,false,"웃거름,순지르기","과습,바람",
단감,EARLY,5,수확,2029,2072,,false,false,,저온,
단감,MID,1,발아전엽기,0,180,,false,true,"김매기,물주기,배수,방제",저온,
단감,MID,2,개화기,180,493,,true,false,웃거름,,
단감,MID,3,생리적낙과기,493,920,,false,true,솎기,"가뭄,고온",
단감,MID,4,꽃눈분화기,920,2141,,true,false,"웃거름,순지르기","과습,바람",
단감,MID,5,수확,2141,2186,,false,false,,저온,
단감,LATE,1,발아전엽기,0,181,,false,true,"김매기,물주기,배수,방제",저온,
단감,LATE,2,개화기,181,497,,true,false,웃거름,,
단감,LATE,3,생리적낙과기,497,926,,false,true,솎기,"가뭄,고온",
단감,LATE,4,꽃눈분화기,926,2155,,true,false,"웃거름,순지르기","과습,바람",
단감,LATE,5,수확,2155,2201,,false,false,,저온,
담근먹이 옥수수,MID,1,유묘기,0,620,,true,false,"웃거름,김매기",,
담근먹이 옥수수,MID,2,신장기,620,1296,,false,false,방제,"과습,저온,바람",
담근먹이 옥수수,MID,3,성숙기,1296,1754,,false,false,,,
담근먹이 옥수수,MID,4,수확,1754,1866,,false,false,,,기계화에 따른 생산비 절감효과
당근,MID,1,봄재배 씨뿌림,0,34,,false,false,,,
당근,MID,2,잎과 줄기 신장기,34,443,,false,false,,"과습,고온",
당근,MID,3,수확,443,1268,,false,false,,"과습,고온",
